year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2017,1,tetracycline,14,58,24.14,Staphylococcus aureus
2017,1,,11,58,18.97,Staphylococcus aureus
2017,1,cefoxitin,7,58,12.07,Staphylococcus aureus
2017,1,clindamycin,6,58,10.34,Staphylococcus aureus
2017,1,erythromycin,6,58,10.34,Staphylococcus aureus
2017,1,ciprofloxacin,5,58,8.62,Staphylococcus aureus
2017,1,gentamicin,5,58,8.62,Staphylococcus aureus
2017,1,trimethoprim/sulfamethoxazole,4,58,6.9,Staphylococcus aureus
2017,2,,17,38,44.74,Staphylococcus aureus
2017,2,tetracycline,9,38,23.68,Staphylococcus aureus
2017,2,cefoxitin,2,38,5.26,Staphylococcus aureus
2017,2,ciprofloxacin,2,38,5.26,Staphylococcus aureus
2017,2,clindamycin,2,38,5.26,Staphylococcus aureus
2017,2,erythromycin,2,38,5.26,Staphylococcus aureus
2017,2,gentamicin,2,38,5.26,Staphylococcus aureus
2017,2,trimethoprim/sulfamethoxazole,2,38,5.26,Staphylococcus aureus
2017,3,tetracycline,13,45,28.89,Staphylococcus aureus
2017,3,clindamycin,6,45,13.33,Staphylococcus aureus
2017,3,erythromycin,6,45,13.33,Staphylococcus aureus
2017,3,,6,45,13.33,Staphylococcus aureus
2017,3,cefoxitin,5,45,11.11,Staphylococcus aureus
2017,3,ciprofloxacin,4,45,8.89,Staphylococcus aureus
2017,3,gentamicin,3,45,6.67,Staphylococcus aureus
2017,3,trimethoprim/sulfamethoxazole,2,45,4.44,Staphylococcus aureus
2017,4,tetracycline,12,44,27.27,Staphylococcus aureus
2017,4,,9,44,20.45,Staphylococcus aureus
2017,4,clindamycin,6,44,13.64,Staphylococcus aureus
2017,4,erythromycin,6,44,13.64,Staphylococcus aureus
2017,4,trimethoprim/sulfamethoxazole,4,44,9.09,Staphylococcus aureus
2017,4,ciprofloxacin,3,44,6.82,Staphylococcus aureus
2017,4,cefoxitin,2,44,4.55,Staphylococcus aureus
2017,4,gentamicin,2,44,4.55,Staphylococcus aureus
2017,5,,16,57,28.07,Staphylococcus aureus
2017,5,tetracycline,13,57,22.81,Staphylococcus aureus
2017,5,erythromycin,6,57,10.53,Staphylococcus aureus
2017,5,clindamycin,5,57,8.77,Staphylococcus aureus
2017,5,trimethoprim/sulfamethoxazole,5,57,8.77,Staphylococcus aureus
2017,5,cefoxitin,4,57,7.02,Staphylococcus aureus
2017,5,ciprofloxacin,3,57,5.26,Staphylococcus aureus
2017,5,gentamicin,3,57,5.26,Staphylococcus aureus
2017,5,vancomycin,2,57,3.51,Staphylococcus aureus
2017,6,,18,57,31.58,Staphylococcus aureus
2017,6,tetracycline,16,57,28.07,Staphylococcus aureus
2017,6,clindamycin,5,57,8.77,Staphylococcus aureus
2017,6,erythromycin,5,57,8.77,Staphylococcus aureus
2017,6,trimethoprim/sulfamethoxazole,4,57,7.02,Staphylococcus aureus
2017,6,cefoxitin,3,57,5.26,Staphylococcus aureus
2017,6,ciprofloxacin,3,57,5.26,Staphylococcus aureus
2017,6,gentamicin,3,57,5.26,Staphylococcus aureus
2017,7,,15,54,27.78,Staphylococcus aureus
2017,7,tetracycline,14,54,25.93,Staphylococcus aureus
2017,7,cefoxitin,6,54,11.11,Staphylococcus aureus
2017,7,clindamycin,5,54,9.26,Staphylococcus aureus
2017,7,erythromycin,5,54,9.26,Staphylococcus aureus
2017,7,ciprofloxacin,3,54,5.56,Staphylococcus aureus
2017,7,gentamicin,3,54,5.56,Staphylococcus aureus
2017,7,trimethoprim/sulfamethoxazole,3,54,5.56,Staphylococcus aureus
2017,8,tetracycline,21,81,25.93,Staphylococcus aureus
2017,8,,18,81,22.22,Staphylococcus aureus
2017,8,cefoxitin,10,81,12.35,Staphylococcus aureus
2017,8,clindamycin,10,81,12.35,Staphylococcus aureus
2017,8,erythromycin,10,81,12.35,Staphylococcus aureus
2017,8,trimethoprim/sulfamethoxazole,6,81,7.41,Staphylococcus aureus
2017,8,ciprofloxacin,3,81,3.7,Staphylococcus aureus
2017,8,gentamicin,3,81,3.7,Staphylococcus aureus
2017,9,,29,55,52.73,Staphylococcus aureus
2017,9,tetracycline,15,55,27.27,Staphylococcus aureus
2017,9,trimethoprim/sulfamethoxazole,5,55,9.09,Staphylococcus aureus
2017,9,cefoxitin,1,55,1.82,Staphylococcus aureus
2017,9,ciprofloxacin,1,55,1.82,Staphylococcus aureus
2017,9,clindamycin,1,55,1.82,Staphylococcus aureus
2017,9,erythromycin,1,55,1.82,Staphylococcus aureus
2017,9,gentamicin,1,55,1.82,Staphylococcus aureus
2017,9,vancomycin,1,55,1.82,Staphylococcus aureus
2017,10,,41,119,34.45,Staphylococcus aureus
2017,10,tetracycline,32,119,26.89,Staphylococcus aureus
2017,10,cefoxitin,9,119,7.56,Staphylococcus aureus
2017,10,clindamycin,8,119,6.72,Staphylococcus aureus
2017,10,erythromycin,8,119,6.72,Staphylococcus aureus
2017,10,trimethoprim/sulfamethoxazole,7,119,5.88,Staphylococcus aureus
2017,10,gentamicin,4,119,3.36,Staphylococcus aureus
2017,10,vancomycin,4,119,3.36,Staphylococcus aureus
2017,10,ciprofloxacin,3,119,2.52,Staphylococcus aureus
2017,10,levofloxacin,3,119,2.52,Staphylococcus aureus
2017,11,,43,115,37.39,Staphylococcus aureus
2017,11,tetracycline,23,115,20.0,Staphylococcus aureus
2017,11,erythromycin,12,115,10.43,Staphylococcus aureus
2017,11,clindamycin,9,115,7.83,Staphylococcus aureus
2017,11,trimethoprim/sulfamethoxazole,8,115,6.96,Staphylococcus aureus
2017,11,cefoxitin,7,115,6.09,Staphylococcus aureus
2017,11,ciprofloxacin,6,115,5.22,Staphylococcus aureus
2017,11,gentamicin,5,115,4.35,Staphylococcus aureus
2017,11,vancomycin,2,115,1.74,Staphylococcus aureus
2017,12,tetracycline,20,56,35.71,Staphylococcus aureus
2017,12,,16,56,28.57,Staphylococcus aureus
2017,12,clindamycin,5,56,8.93,Staphylococcus aureus
2017,12,erythromycin,5,56,8.93,Staphylococcus aureus
2017,12,trimethoprim/sulfamethoxazole,5,56,8.93,Staphylococcus aureus
2017,12,cefoxitin,3,56,5.36,Staphylococcus aureus
2017,12,ciprofloxacin,1,56,1.79,Staphylococcus aureus
2017,12,gentamicin,1,56,1.79,Staphylococcus aureus
2018,1,,35,112,31.25,Staphylococcus aureus
2018,1,tetracycline,33,112,29.46,Staphylococcus aureus
2018,1,clindamycin,10,112,8.93,Staphylococcus aureus
2018,1,cefoxitin,8,112,7.14,Staphylococcus aureus
2018,1,erythromycin,8,112,7.14,Staphylococcus aureus
2018,1,ciprofloxacin,5,112,4.46,Staphylococcus aureus
2018,1,trimethoprim/sulfamethoxazole,5,112,4.46,Staphylococcus aureus
2018,1,gentamicin,4,112,3.57,Staphylococcus aureus
2018,1,levofloxacin,3,112,2.68,Staphylococcus aureus
2018,1,vancomycin,1,112,0.89,Staphylococcus aureus
2018,2,,43,72,59.72,Staphylococcus aureus
2018,2,tetracycline,21,72,29.17,Staphylococcus aureus
2018,2,clindamycin,3,72,4.17,Staphylococcus aureus
2018,2,erythromycin,2,72,2.78,Staphylococcus aureus
2018,2,trimethoprim/sulfamethoxazole,2,72,2.78,Staphylococcus aureus
2018,2,cefoxitin,1,72,1.39,Staphylococcus aureus
2018,3,,34,85,40.0,Staphylococcus aureus
2018,3,tetracycline,22,85,25.88,Staphylococcus aureus
2018,3,trimethoprim/sulfamethoxazole,8,85,9.41,Staphylococcus aureus
2018,3,erythromycin,7,85,8.24,Staphylococcus aureus
2018,3,clindamycin,6,85,7.06,Staphylococcus aureus
2018,3,cefoxitin,3,85,3.53,Staphylococcus aureus
2018,3,ciprofloxacin,3,85,3.53,Staphylococcus aureus
2018,3,gentamicin,1,85,1.18,Staphylococcus aureus
2018,3,levofloxacin,1,85,1.18,Staphylococcus aureus
2018,4,,37,143,25.87,Staphylococcus aureus
2018,4,tetracycline,34,143,23.78,Staphylococcus aureus
2018,4,cefoxitin,14,143,9.79,Staphylococcus aureus
2018,4,clindamycin,14,143,9.79,Staphylococcus aureus
2018,4,erythromycin,12,143,8.39,Staphylococcus aureus
2018,4,ciprofloxacin,9,143,6.29,Staphylococcus aureus
2018,4,gentamicin,8,143,5.59,Staphylococcus aureus
2018,4,trimethoprim/sulfamethoxazole,6,143,4.2,Staphylococcus aureus
2018,4,vancomycin,6,143,4.2,Staphylococcus aureus
2018,4,levofloxacin,3,143,2.1,Staphylococcus aureus
2018,5,,53,163,32.52,Staphylococcus aureus
2018,5,tetracycline,39,163,23.93,Staphylococcus aureus
2018,5,clindamycin,14,163,8.59,Staphylococcus aureus
2018,5,cefoxitin,12,163,7.36,Staphylococcus aureus
2018,5,erythromycin,12,163,7.36,Staphylococcus aureus
2018,5,trimethoprim/sulfamethoxazole,12,163,7.36,Staphylococcus aureus
2018,5,ciprofloxacin,8,163,4.91,Staphylococcus aureus
2018,5,gentamicin,5,163,3.07,Staphylococcus aureus
2018,5,levofloxacin,4,163,2.45,Staphylococcus aureus
2018,5,vancomycin,3,163,1.84,Staphylococcus aureus
2018,5,oxacillin,1,163,0.61,Staphylococcus aureus
2018,6,,37,115,32.17,Staphylococcus aureus
2018,6,tetracycline,24,115,20.87,Staphylococcus aureus
2018,6,clindamycin,15,115,13.04,Staphylococcus aureus
2018,6,erythromycin,14,115,12.17,Staphylococcus aureus
2018,6,trimethoprim/sulfamethoxazole,9,115,7.83,Staphylococcus aureus
2018,6,cefoxitin,6,115,5.22,Staphylococcus aureus
2018,6,ciprofloxacin,4,115,3.48,Staphylococcus aureus
2018,6,gentamicin,4,115,3.48,Staphylococcus aureus
2018,6,levofloxacin,1,115,0.87,Staphylococcus aureus
2018,6,vancomycin,1,115,0.87,Staphylococcus aureus
2018,7,,41,112,36.61,Staphylococcus aureus
2018,7,tetracycline,30,112,26.79,Staphylococcus aureus
2018,7,erythromycin,8,112,7.14,Staphylococcus aureus
2018,7,clindamycin,7,112,6.25,Staphylococcus aureus
2018,7,vancomycin,7,112,6.25,Staphylococcus aureus
2018,7,cefoxitin,5,112,4.46,Staphylococcus aureus
2018,7,trimethoprim/sulfamethoxazole,5,112,4.46,Staphylococcus aureus
2018,7,ciprofloxacin,4,112,3.57,Staphylococcus aureus
2018,7,levofloxacin,3,112,2.68,Staphylococcus aureus
2018,7,gentamicin,2,112,1.79,Staphylococcus aureus
2018,8,,44,132,33.33,Staphylococcus aureus
2018,8,tetracycline,33,132,25.0,Staphylococcus aureus
2018,8,clindamycin,11,132,8.33,Staphylococcus aureus
2018,8,erythromycin,11,132,8.33,Staphylococcus aureus
2018,8,cefoxitin,9,132,6.82,Staphylococcus aureus
2018,8,gentamicin,7,132,5.3,Staphylococcus aureus
2018,8,ciprofloxacin,6,132,4.55,Staphylococcus aureus
2018,8,trimethoprim/sulfamethoxazole,6,132,4.55,Staphylococcus aureus
2018,8,levofloxacin,3,132,2.27,Staphylococcus aureus
2018,8,vancomycin,2,132,1.52,Staphylococcus aureus
2018,9,,53,147,36.05,Staphylococcus aureus
2018,9,tetracycline,35,147,23.81,Staphylococcus aureus
2018,9,clindamycin,15,147,10.2,Staphylococcus aureus
2018,9,erythromycin,12,147,8.16,Staphylococcus aureus
2018,9,cefoxitin,9,147,6.12,Staphylococcus aureus
2018,9,ciprofloxacin,7,147,4.76,Staphylococcus aureus
2018,9,trimethoprim/sulfamethoxazole,6,147,4.08,Staphylococcus aureus
2018,9,gentamicin,5,147,3.4,Staphylococcus aureus
2018,9,levofloxacin,3,147,2.04,Staphylococcus aureus
2018,9,oxacillin,1,147,0.68,Staphylococcus aureus
2018,9,vancomycin,1,147,0.68,Staphylococcus aureus
2018,10,,47,99,47.47,Staphylococcus aureus
2018,10,tetracycline,33,99,33.33,Staphylococcus aureus
2018,10,trimethoprim/sulfamethoxazole,6,99,6.06,Staphylococcus aureus
2018,10,clindamycin,3,99,3.03,Staphylococcus aureus
2018,10,erythromycin,3,99,3.03,Staphylococcus aureus
2018,10,cefoxitin,2,99,2.02,Staphylococcus aureus
2018,10,vancomycin,2,99,2.02,Staphylococcus aureus
2018,10,ciprofloxacin,1,99,1.01,Staphylococcus aureus
2018,10,gentamicin,1,99,1.01,Staphylococcus aureus
2018,10,levofloxacin,1,99,1.01,Staphylococcus aureus
2018,11,,42,139,30.22,Staphylococcus aureus
2018,11,tetracycline,31,139,22.3,Staphylococcus aureus
2018,11,cefoxitin,23,139,16.55,Staphylococcus aureus
2018,11,clindamycin,12,139,8.63,Staphylococcus aureus
2018,11,erythromycin,11,139,7.91,Staphylococcus aureus
2018,11,ciprofloxacin,7,139,5.04,Staphylococcus aureus
2018,11,levofloxacin,5,139,3.6,Staphylococcus aureus
2018,11,gentamicin,4,139,2.88,Staphylococcus aureus
2018,11,oxacillin,2,139,1.44,Staphylococcus aureus
2018,11,trimethoprim/sulfamethoxazole,2,139,1.44,Staphylococcus aureus
2018,12,,52,143,36.36,Staphylococcus aureus
2018,12,tetracycline,41,143,28.67,Staphylococcus aureus
2018,12,cefoxitin,16,143,11.19,Staphylococcus aureus
2018,12,erythromycin,10,143,6.99,Staphylococcus aureus
2018,12,clindamycin,9,143,6.29,Staphylococcus aureus
2018,12,ciprofloxacin,4,143,2.8,Staphylococcus aureus
2018,12,oxacillin,3,143,2.1,Staphylococcus aureus
2018,12,trimethoprim/sulfamethoxazole,3,143,2.1,Staphylococcus aureus
2018,12,gentamicin,2,143,1.4,Staphylococcus aureus
2018,12,vancomycin,2,143,1.4,Staphylococcus aureus
2018,12,levofloxacin,1,143,0.7,Staphylococcus aureus
2019,1,cefoxitin,14,33,42.42,Staphylococcus aureus
2019,1,tetracycline,7,33,21.21,Staphylococcus aureus
2019,1,vancomycin,4,33,12.12,Staphylococcus aureus
2019,1,,3,33,9.09,Staphylococcus aureus
2019,1,clindamycin,2,33,6.06,Staphylococcus aureus
2019,1,erythromycin,2,33,6.06,Staphylococcus aureus
2019,1,trimethoprim/sulfamethoxazole,1,33,3.03,Staphylococcus aureus
2019,2,tetracycline,4,13,30.77,Staphylococcus aureus
2019,2,,4,13,30.77,Staphylococcus aureus
2019,2,cefoxitin,2,13,15.38,Staphylococcus aureus
2019,2,trimethoprim/sulfamethoxazole,2,13,15.38,Staphylococcus aureus
2019,2,erythromycin,1,13,7.69,Staphylococcus aureus
2019,3,,11,45,24.44,Staphylococcus aureus
2019,3,tetracycline,9,45,20.0,Staphylococcus aureus
2019,3,vancomycin,6,45,13.33,Staphylococcus aureus
2019,3,clindamycin,5,45,11.11,Staphylococcus aureus
2019,3,cefoxitin,4,45,8.89,Staphylococcus aureus
2019,3,erythromycin,4,45,8.89,Staphylococcus aureus
2019,3,trimethoprim/sulfamethoxazole,2,45,4.44,Staphylococcus aureus
2019,3,ciprofloxacin,1,45,2.22,Staphylococcus aureus
2019,3,gentamicin,1,45,2.22,Staphylococcus aureus
2019,3,levofloxacin,1,45,2.22,Staphylococcus aureus
2019,3,oxacillin,1,45,2.22,Staphylococcus aureus
2019,4,tetracycline,9,19,47.37,Staphylococcus aureus
2019,4,,5,19,26.32,Staphylococcus aureus
2019,4,trimethoprim/sulfamethoxazole,3,19,15.79,Staphylococcus aureus
2019,4,cefoxitin,2,19,10.53,Staphylococcus aureus
2019,5,tetracycline,12,30,40.0,Staphylococcus aureus
2019,5,trimethoprim/sulfamethoxazole,5,30,16.67,Staphylococcus aureus
2019,5,,4,30,13.33,Staphylococcus aureus
2019,5,cefoxitin,3,30,10.0,Staphylococcus aureus
2019,5,erythromycin,3,30,10.0,Staphylococcus aureus
2019,5,ciprofloxacin,2,30,6.67,Staphylococcus aureus
2019,5,clindamycin,1,30,3.33,Staphylococcus aureus
2019,6,tetracycline,4,14,28.57,Staphylococcus aureus
2019,6,,4,14,28.57,Staphylococcus aureus
2019,6,trimethoprim/sulfamethoxazole,2,14,14.29,Staphylococcus aureus
2019,6,cefoxitin,1,14,7.14,Staphylococcus aureus
2019,6,clindamycin,1,14,7.14,Staphylococcus aureus
2019,6,erythromycin,1,14,7.14,Staphylococcus aureus
2019,6,oxacillin,1,14,7.14,Staphylococcus aureus
2019,7,,8,26,30.77,Staphylococcus aureus
2019,7,tetracycline,7,26,26.92,Staphylococcus aureus
2019,7,cefoxitin,3,26,11.54,Staphylococcus aureus
2019,7,clindamycin,2,26,7.69,Staphylococcus aureus
2019,7,erythromycin,2,26,7.69,Staphylococcus aureus
2019,7,oxacillin,2,26,7.69,Staphylococcus aureus
