organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2015,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,561,14.08
Escherichia coli,2015,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",67,561,11.94
Escherichia coli,2015,1,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",52,561,9.27
Escherichia coli,2015,1,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",41,561,7.31
Escherichia coli,2015,1,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",25,561,4.46
Escherichia coli,2015,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",88,532,16.54
Escherichia coli,2015,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",78,532,14.66
Escherichia coli,2015,2,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",54,532,10.15
Escherichia coli,2015,2,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,532,9.21
Escherichia coli,2015,2,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",33,532,6.2
Escherichia coli,2015,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",68,500,13.6
Escherichia coli,2015,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",62,500,12.4
Escherichia coli,2015,3,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",53,500,10.6
Escherichia coli,2015,3,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,500,8.0
Escherichia coli,2015,3,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",30,500,6.0
Escherichia coli,2015,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",65,558,11.65
Escherichia coli,2015,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",59,558,10.57
Escherichia coli,2015,4,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,558,10.22
Escherichia coli,2015,4,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",36,558,6.45
Escherichia coli,2015,4,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",26,558,4.66
Escherichia coli,2015,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",79,498,15.86
Escherichia coli,2015,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",64,498,12.85
Escherichia coli,2015,5,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",48,498,9.64
Escherichia coli,2015,5,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",43,498,8.63
Escherichia coli,2015,5,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",16,498,3.21
Escherichia coli,2015,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,555,14.23
Escherichia coli,2015,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",77,555,13.87
Escherichia coli,2015,6,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",56,555,10.09
Escherichia coli,2015,6,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",41,555,7.39
Escherichia coli,2015,6,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",23,555,4.14
Escherichia coli,2015,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",68,535,12.71
Escherichia coli,2015,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",65,535,12.15
Escherichia coli,2015,7,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,535,11.78
Escherichia coli,2015,7,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",50,535,9.35
Escherichia coli,2015,7,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",27,535,5.05
Escherichia coli,2015,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,506,14.43
Escherichia coli,2015,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",68,506,13.44
Escherichia coli,2015,8,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,506,11.86
Escherichia coli,2015,8,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,506,7.91
Escherichia coli,2015,8,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",28,506,5.53
Escherichia coli,2015,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",74,531,13.94
Escherichia coli,2015,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",66,531,12.43
Escherichia coli,2015,9,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",53,531,9.98
Escherichia coli,2015,9,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,531,7.53
Escherichia coli,2015,9,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",25,531,4.71
Escherichia coli,2015,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,513,15.4
Escherichia coli,2015,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",52,513,10.14
Escherichia coli,2015,10,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",46,513,8.97
Escherichia coli,2015,10,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",42,513,8.19
Escherichia coli,2015,10,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",24,513,4.68
Escherichia coli,2015,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,449,12.69
Escherichia coli,2015,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",52,449,11.58
Escherichia coli,2015,11,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,449,10.47
Escherichia coli,2015,11,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",35,449,7.8
Escherichia coli,2015,11,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",19,449,4.23
Escherichia coli,2015,12,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",69,451,15.3
Escherichia coli,2015,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,451,13.75
Escherichia coli,2015,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",52,451,11.53
Escherichia coli,2015,12,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",32,451,7.1
Escherichia coli,2015,12,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",23,451,5.1
Escherichia coli,2016,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",83,628,13.22
Escherichia coli,2016,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",80,628,12.74
Escherichia coli,2016,1,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",61,628,9.71
Escherichia coli,2016,1,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",45,628,7.17
Escherichia coli,2016,1,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",43,628,6.85
Escherichia coli,2016,2,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",91,592,15.37
Escherichia coli,2016,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",81,592,13.68
Escherichia coli,2016,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",70,592,11.82
Escherichia coli,2016,2,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,592,7.94
Escherichia coli,2016,2,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",32,592,5.41
Escherichia coli,2016,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",78,625,12.48
Escherichia coli,2016,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,625,11.68
Escherichia coli,2016,3,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,625,9.92
Escherichia coli,2016,3,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,625,9.92
Escherichia coli,2016,3,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,625,6.08
Escherichia coli,2016,4,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",86,615,13.98
Escherichia coli,2016,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",82,615,13.33
Escherichia coli,2016,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",75,615,12.2
Escherichia coli,2016,4,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,615,10.08
Escherichia coli,2016,4,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",35,615,5.69
Escherichia coli,2016,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",72,546,13.19
Escherichia coli,2016,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",69,546,12.64
Escherichia coli,2016,5,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,546,11.54
Escherichia coli,2016,5,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,546,7.33
Escherichia coli,2016,5,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,546,6.96
Escherichia coli,2016,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",78,573,13.61
Escherichia coli,2016,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",68,573,11.87
Escherichia coli,2016,6,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",68,573,11.87
Escherichia coli,2016,6,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",55,573,9.6
Escherichia coli,2016,6,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",33,573,5.76
Escherichia coli,2016,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",81,558,14.52
Escherichia coli,2016,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",71,558,12.72
Escherichia coli,2016,7,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",55,558,9.86
Escherichia coli,2016,7,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",38,558,6.81
Escherichia coli,2016,7,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",24,558,4.3
Escherichia coli,2016,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",73,535,13.64
Escherichia coli,2016,8,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",58,535,10.84
Escherichia coli,2016,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",50,535,9.35
Escherichia coli,2016,8,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",35,535,6.54
Escherichia coli,2016,8,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",26,535,4.86
Escherichia coli,2016,9,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",66,569,11.6
Escherichia coli,2016,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",65,569,11.42
